,date,title,description,link
75,20180525,«Abstimmungs-Arena»: Geldspielgesetz,Das neue Geldspielgesetz schien beschlossene Sache – bis Jungparteien von links bis rechts das Referendum dagegen ergriffen. Bundesrätin Simonetta Sommaruga kreuzt in der «Arena» die Klingen mit den Gegnern des Gesetzes. Wovor warnen diese? Und was spricht für das neue Geldspielgesetz?,https://www.srf.ch/sendungen/arena/abstimmungs-arena-geldspielgesetz
76,20181012,Fahren wir die Welt an die Wand?,"Der Meeresspiegel steigt, extreme Wetterereignisse häufen sich und Gletscher schmelzen dahin. Schuld daran sei unter anderem die globale Klimaerwärmung, sagt der Weltklimarat. Um diese einzudämmen, müsse man jetzt handeln – und den CO2-Ausstoss drastisch senken. Aber geht das überhaupt?",https://www.srf.ch/sendungen/arena/fahren-wir-die-welt-an-die-wand
77,20160531,Service Public – die Publikumsdebatte,"Sämtliche Parlamentarier haben gegen die Service-Public-Initiative gestimmt. Trotzdem findet die Initiative beim Volk grosse Zustimmung. Was gehört zum Service public? Wie zufrieden oder unzufrieden sind die Bürger mit Post, SBB und Swisscom? Und würde die Initiative den Service public verbessern?",https://www.srf.ch/sendungen/arena/service-public-die-publikumsdebatte
78,20161028,Abstimmungs-Arena: «Atomausstiegs-Initiative»,"Nach 45 Jahren Laufzeit müssen Kernkraftwerke vom Netz: Das fordern Befürworter der «Atomausstiegs-Initiative». Die ersten drei AKW sollen bereits 2017 abgeschaltet werden. Für die Gegner sind die Massnahmen zu überstürzt. Es sei nicht möglich, innerhalb eines Jahres die Kernenergie zu ersetzen.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-atomausstiegs-initiative
79,20190118,Die Jungen übernehmen!,"Sara (17), Luis (17) und Andrea (17) moderieren diese Woche die Arena: Während Jonas Projer für einmal in der hinteren Reihe Platz nimmt, führen sie durch die Sendung. Und diskutieren Themen, die sie bewegen: Migration, Klima und Renten.",https://www.srf.ch/sendungen/arena/die-jungen-uebernehmen
80,20160429,Abstimmungs-Arena: Änderung Fortpflanzungsmedizin,"Darf man Embryonen, die im Reagenzglas entstehen, auf Krankheiten untersuchen? Im Grundsatz hat das Stimmvolk der PID im Juni 2015 zugestimmt. Das neue Fortpflanzungsmedizin-Gesetz geht nun aber vielen zu weit: Sie wollen, dass die PID nur Paaren mit schweren Erbkrankheiten offen steht.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-aenderung-fortpflanzungsmedizin-2
81,20161216,Schöne Bescherung,"Rund ums Jahr streiten Politiker in der «Arena». Diesen Freitag aber wird nicht gegeneinander, sondern miteinander diskutiert – und zwar über Weihnachten. Ist das heute noch ein religiöses Fest? Oder heisst Weihnachten nur noch: Wir essen, wir trinken – und wir huldigen dem Gott des Konsums?",https://www.srf.ch/sendungen/arena/schoene-bescherung
82,20160909,Abstimmungs-Arena: Referendum Nachrichtendienstgesetz,"Telefongespräche abhören, Wanzen in Privaträumen installieren, Computer hacken mittels Trojanern: Soll der Nachrichtendienst des Bundes mehr Kompetenzen für die elektronische Überwachung bekommen? Gegen das neue Nachrichtendienst-Gesetz wurde das Referendum ergriffen.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-referendum-nachrichtendienstgesetz
83,20160916,Abstimmungs-Arena: Initiative AHV Plus,"Zehn Prozent mehr AHV-Rente, das fordert die Initiative AHV Plus. Ab 2018 soll jede Rentnerin und jeder Rentner das Recht auf diesen Zuschlag haben. Die Gegner warnen vor den finanziellen Folgen, da die Lage der AHV eh schon angespannt sei.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-ahv-plus
84,20160520,Abstimmungs-Arena: Initiative Grundeinkommen,"Lohn ohne Arbeit, Geld ohne Gegenleistung - ein «bedingungsloses Grundeinkommen» gebe dem Einzelnen mehr Sicherheit und die Schweiz könne sich das leisten, finden die Befürworter. Das stimme nicht, sagen die Gegner: Ein Grundeinkommen für alle sei nicht finanzierbar und schade der Wirtschaft massiv.",https://www.srf.ch/sendungen/arena/abstimmungs-arena-initiative-grundeinkommen-2
